names,colors,websites
ABIGAYLE COSINUKE,#0000ff,ourWorks/designers.html#abigayle
ASHLYN JACKSON,#ec5800,ourWorks/designers.html#ashlyn
CHLOE LOOKER,#DEC5EC,ourWorks/designers.html#chloe
DANIELLE KIM,#035AFF,ourWorks/designers.html#narae
DOM GRANATO,#2FEF71,ourWorks/designers.html#dom
ERYN BATHKE,04C279,ourWorks/designers.html#eryn
FUMING ZHOU,#74EEA5,ourWorks/designers.html#fuming
HANCAI WANG,#0F4C81,ourWorks/designers.html#hancai
HAOJIE CHAI,#8a00ff,ourWorks/designers.html#haojie
JASON MALIK,#000000,ourWorks/designers.html#jason
KAIWEN LIU,#217EEE,ourWorks/designers.html#kaiwen
KEYU MAO,#5938ff,ourWorks/designers.html#keyu
MEG QUARTON,#F3CAC3,ourWorks/designers.html#meg
MENGWEN YU,#694AFF,ourWorks/designers.html#mengwen
CHANCIE (QIANSHI) ZHENG,#F8D4FF,ourWorks/designers.html#chancie
REBECCA GARDEA,#ffe600,ourWorks/designers.html#rebecca
SARAH CHIEKO BONNICKSON,#111e6c,ourWorks/designers.html#sarah
TED CHEN,#85FFE7,ourWorks/designers.html#ted
TIAOLI LI,#C7C7C7,ourWorks/designers.html#tiaoli
TIN DINH,#F8228D,ourWorks/designers.html#tin
TINGYU ZHAO,#bb1b73,ourWorks/designers.html#tingyu
TROY TAYLOR,#800080,ourWorks/designers.html#troy
WEN LIU,#f6e04f,ourWorks/designers.html#wen
XIAOHAN HANNAH LIAO,#BF4D4D,ourWorks/designers.html#xiaohan
YASHAN DENG,#BCFF2E,ourWorks/designers.html#yashan
